	CO	S1C1	S1C2	S2C1	S2C2	S2C3	S3C1	S3C2	S4C1	S4C2	S5C1	S5C2	S6C1	S6C2	S7C1	S7C2	S8C1	S9C1	S10C1	S10C2	S11C1	S11C2	S12C1	S12C2	S13C1	S13C2	Demanda CO
CO	0	3.56	2.98	2.71	2.28	2.57	1.29	2.1	1.91	2.67	2.62	1.73	1.43	2.24	1.15	1.95	0.801	0.99	1.81	1.08	0.779	0.892	0.209	0.635	1.36	2.09	
S1C1	3.56	0	0.578	0.959	1.76	2.34	3.22	2.76	3.53	3.32	5.2	3.96	4.77	5.76	4.07	5.52	3.87	2.79	1.57	2.51	4.05	2.81	3.34	4.2	4.28	4.87	11
S1C2	2.98	0.578	0	0.385	1.21	1.88	3.01	2.57	3	3.01	4.7	3.45	4.23	5.23	4.17	5.1	3.32	2.23	1.01	1.91	3.52	2.37	2.81	3.77	4.01	4.37	11
S2C1	2.71	0.959	0.385	0	0.824	1.54	2.19	1.83	2.61	2.63	4.32	3.05	3.97	4.97	3.87	4.64	3.15	2.02	0.763	1.62	3.19	1.91	2.53	3.46	3.54	3.99	9
S2C2	2.28	1.76	1.21	0.824	0	0.789	1.46	1.01	1.79	1.79	3.54	2.29	3.35	4.3	3.38	4.12	2.89	1.9	0.91	1.36	2.6	1.36	2.12	3.02	2.91	3.21	9
S2C3	2.57	2.34	1.88	1.54	0.789	0	1.42	0.601	1.4	1.1	3.12	1.96	3.32	4.31	3.53	4.19	3.26	2.42	1.7	1.91	2.66	1.64	3.53	3.17	2.88	2.9	9
S3C1	1.29	3.22	3.01	2.19	1.46	1.42	0	0.826	0.693	1.38	2.16	0.904	1.93	2.89	2.16	2.78	3.29	2.42	1.73	1.96	1.28	0.568	1.27	1.79	1.59	2.31	13
S3C2	2.1	2.76	2.57	1.83	1.01	0.601	0.826	0	0.82	0.868	2.58	1.37	2.73	3.73	2.99	3.59	2.77	2.1	1.75	1.65	2.09	1.12	2	2.61	2.26	2.32	13
S4C1	1.91	3.53	3	2.61	1.79	1.4	0.693	0.82	0	0.818	1.74	0.587	2.13	3.04	2.56	3.01	2.66	2.26	2.37	1.92	3.66	1.28	1.93	2.3	1.64	1.52	13.5
S4C2	2.67	3.32	3.01	2.63	1.79	1.1	1.38	0.868	0.818	0	2.21	1.32	2.9	3.8	3.36	3.81	3.4	2.84	2.58	2.48	2.45	1.92	2.65	3.09	2.38	2.11	13.5
S5C1	2.62	5.2	4.7	4.32	3.54	3.12	2.16	2.58	1.74	2.21	0	1.25	1.65	2.13	2.43	2.35	3.22	3.42	3.95	3.28	1.89	2.54	2.75	2.53	1.26	0.46	12
S5C2	1.73	3.96	3.45	3.05	2.29	1.96	0.904	1.37	0.587	1.32	1.25	0	1.6	2.48	2.13	2.48	2.53	2.34	2.71	2.14	1.26	1.37	1.8	1.96	1.07	0.941	12
S6C1	1.43	4.77	4.23	3.97	3.35	3.32	1.93	2.73	2.13	2.9	1.65	1.6	0	0.89	0.791	0.863	1.88	2.4	3.35	2.48	0.756	1.93	1.63	1.04	0.624	1.25	13
S6C2	2.24	5.76	5.23	4.97	4.3	4.31	2.89	3.73	3.04	3.8	2.13	2.48	0.89	0	1.09	0.317	2.41	3.25	4.27	3.36	1.96	2.86	2.46	1.66	1.56	1.94	13
S7C1	1.15	4.07	4.17	3.87	3.38	3.53	2.16	2.99	2.56	3.36	2.43	2.13	0.791	1.09	0	0.827	1.18	2.07	3.19	2.26	0.922	1.94	1.35	0.526	1.25	1.98	14
S7C2	1.95	5.52	5.1	4.64	4.12	4.19	2.78	3.59	3.01	3.81	2.35	2.48	0.863	0.317	0.827	0	2.02	2.94	4.02	3.1	1.53	2.68	2.19	1.37	1.52	2.02	14
S8C1	0.801	3.87	3.32	3.15	2.89	3.26	3.29	2.77	2.66	3.4	3.22	2.53	1.88	2.41	1.18	2.02	0	1.15	2.35	1.48	1.4	1.63	0.851	0.798	1.94	2.77	20
S9C1	0.99	2.79	2.23	2.02	1.9	2.42	2.42	2.1	2.26	2.84	3.42	2.34	2.4	3.25	2.07	2.94	1.15	0	1.25	0.495	1.71	1.04	0.766	1.55	2.31	3	29
S10C1	1.81	1.57	1.01	0.763	0.91	1.7	1.73	1.75	2.37	2.58	3.95	2.71	3.35	4.27	3.19	4.02	2.35	1.25	0	0.921	2.62	1.36	1.84	2.66	3.16	3.58	14.5
